word,count
admirable,84
continued,84
sad,84
handed,84
violent,84
students,84
fetch,84
shouted,84
charge,84
clouds,84
east,84
shot,84
bertram,84
seldom,83
thus,83
brave,83
troubled,83
proposed,83
shone,83
nodded,83
confidence,83
sorts,83
cost,83
meal,83
cheek,83
loves,83
foreign,83
vain,83
iron,83
beer,83
dean,83
delightful,83
ii,82
unknown,82
nine,82
learnt,82
melancholy,82
neat,82
flat,82
announced,82
concerned,82
probably,82
apparently,82
suspicion,82
smoking,82
ideas,82
mistake,82
silver,82
pringle,82
gets,81
proper,81
finding,81
partly,81
condition,81
explain,81
impatiently,81
seat,81
british,81
bottle,81
extremely,81
although,81
steadily,81
ethel,81
romance,80
kindly,80
crown,80
altogether,80
details,80
bare,80
startled,80
shabby,80
whenever,80
running,80
hidden,80
instant,80
heat,80
completely,80
intention,80
plays,80
africa,80
polly,80
forli,80
sylvia,80
minister,79
king,79
appears,79
sounds,79
drop,79
stout,79
unable,79
action,79
dry,79
angrily,79
enter,79
kent,79
field,79
pray,79
gathered,78
gown,78
damn,78
keen,78
helped,78
relations,78
buried,78
expressed,78
cook,78
em,78
kisses,78
ie,78
recognised,77
managed,77
wondering,77
engagement,77
quarrel,77
bank,77
board,77
earn,77
possessed,77
patience,77
evil,77
command,77
magic,77
clu,77
ugly,76
affair,76
whisky,76
astonished,76
stick,76
silk,76
italy,76
beard,76
stars,76
illness,76
lightly,76
loud,76
theatre,76
careful,76
moon,75
gift,75
fate,75
persuade,75
anybody,75
wed,75
painful,75
flattered,75
bones,75
begin,75
joke,75
opening,75
dream,75
muttered,75
inevitable,75
ry,75
asleep,75
nobody,75
taught,75
odour,75
slipped,75
perkins,75
tt,75
rox,75
purpose,74
robert,74
terms,74
failed,74
recollection,74
address,74
blushed,74
servants,74
chap,74
soldiers,74
elaborate,74
cool,74
worn,74
accompanied,74
names,74
brain,74
precious,74
driven,74
safe,74
nerves,74
mere,74
served,74
car,74
lionel,74
younger,73
pieces,73
calling,73
upstairs,73
practice,73
sell,73
gradually,73
row,73
acted,73
hit,73
joined,73
plenty,73
prison,73
thankful,73
companion,73
interesting,72
situation,72
awkward,72
rare,72
cheerful,72
tender,72
plans,72
worthy,72
devoted,72
according,72
goodness,72
desk,72
kemp,72
decided,72
luck,72
horrid,72
sob,72
wound,72
falling,72
ht,72
marsh,72
dryland,72
curiosity,71
lonely,71
magnificent,71
dressing,71
knocked,71
brothers,71
spot,71
suit,71
song,71
sunshine,71
proceeded,71
hopeless,71
clerk,71
bobbie,71
race,70
judge,70
scorn,70
intelligence,70
keeping,70
thick,70
trembled,70
eyebrows,70
knock,70
considered,70
bedroom,70
wicked,70
painting,69
gained,69
accident,69
described,69
aware,69
rid,69
suggestion,69
explanation,69
sordid,69
tiny,69
loss,69
fortnight,69
natured,69
loving,69
lights,69
fitz,69
instinct,68
example,68
ear,68
photograph,68
anxiously,68
divorce,68
pages,68
minds,68
intolerable,68
hatred,68
believed,68
ignorant,68
manners,68
torture,68
fantastic,68
unusual,68
fight,68
lately,68
conclusion,68
vicarage,68
bother,68
pushed,67
unexpected,67
breast,67
unhappiness,67
cheap,67
sensation,67
formed,67
bade,67
masters,67
roof,67
beneath,67
mass,67
spread,67
danced,67
path,67
shillings,67
ordinary,66
artist,66
el,66
sold,66
indignation,66
reproach,66
struggle,66
medical,66
constant,66
patient,66
drinking,66
supposed,66
feared,66
terrified,66
joseph,66
discuss,65
impressed,65
attracted,65
avoid,65
eating,65
moving,65
agreed,65
pure,65
gratitude,65
madame,65
suggest,65
useless,65
receive,65
roses,65
elly,65
julia,65
deny,64
commonplace,64
acquired,64
sons,64
draw,64
gaiety,64
